ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Seasons Count
306,Blue Jay,2016,,7.3,90%,1,0,1,0,0,NA
307,1922,2017,18+,6.3,90%,1,0,0,0,0,NA
308,Hancock,2008,13+,6.4,41%,1,0,0,0,0,NA
309,Circus of Books,2019,,7.1,98%,1,0,0,0,0,NA
310,"Hail, Caesar!",2016,13+,6.3,85%,1,0,0,0,0,NA
311,The Pixar Story,2007,all,7.8,86%,1,0,0,0,0,NA
312,Child's Play,1988,18+,6.6,71%,1,0,1,0,0,NA
313,Springsteen On Broadway,2018,,8.5,95%,1,0,0,0,0,NA
314,The Angry Birds Movie 2,2019,7+,6.4,73%,1,0,0,0,0,NA
315,Obvious Child,2014,18+,6.8,90%,1,0,0,0,0,NA
316,Awe!,2018,,7.8,100%,1,0,0,0,0,NA
317,American Honey,2016,18+,7.0,79%,1,0,0,0,0,NA
318,Last Breath,2019,,7.7,92%,1,0,0,0,0,NA
319,Udta Punjab,2016,18+,7.8,91%,1,0,0,0,0,NA
320,Den of Thieves,2018,18+,7.0,41%,1,0,0,0,0,NA
321,Wadjda,2012,7+,7.5,99%,1,0,0,0,0,NA
322,The Spiderwick Chronicles,2008,7+,6.5,80%,1,0,0,0,0,NA
323,The Christmas Chronicles,2018,7+,7.1,64%,1,0,1,0,0,NA
324,Turbo,2013,7+,6.4,67%,1,0,0,0,0,NA
325,My Girl,1991,7+,6.9,53%,1,0,0,0,0,NA
326,22-Jul,2018,18+,6.8,80%,1,0,0,0,0,NA
327,Adam Sandler: 100% Fresh,2018,18+,7.6,92%,1,0,0,0,0,NA
328,Remember,2015,18+,7.5,70%,1,0,1,0,0,NA
329,Triple Frontier,2019,18+,6.4,72%,1,0,0,0,0,NA
330,Bombshell: The Hedy Lamarr Story,2018,13+,7.4,96%,1,0,0,0,0,NA
331,Paddleton,2019,18+,7.2,89%,1,0,0,0,0,NA
332,Bad Boys II,2003,18+,6.6,23%,1,0,0,0,0,NA
333,Sour Grapes,2016,16+,7.3,96%,1,0,0,0,0,NA
334,Betting on Zero,2017,,7.2,100%,1,0,0,0,0,NA
335,Delhi Belly,2011,,7.5,87%,1,0,0,0,0,NA
336,Being Elmo: A Puppeteer's Journey,2011,7+,7.6,95%,1,0,0,0,0,NA
337,Williams,2017,,7.6,93%,1,0,0,0,0,NA
338,It Comes at Night,2017,18+,6.2,87%,1,0,0,0,0,NA
339,Cuba and the Cameraman,2017,,8.2,100%,1,0,0,0,0,NA
340,Creep,2014,18+,6.3,89%,1,0,0,0,0,NA
341,The Interview,2014,18+,6.5,52%,1,1,1,0,0,NA
342,Bobby Robson: More Than a Manager,2018,,8.2,100%,1,0,0,0,0,NA
343,Outbreak,1995,18+,6.6,59%,1,0,0,0,0,NA
344,Black Snake Moan,2006,18+,6.9,66%,1,0,1,0,0,NA
345,Bright,2017,18+,6.3,28%,1,0,0,0,0,NA
346,Cargo,2017,,6.3,85%,1,0,1,0,0,NA
347,Even the Rain,2010,,7.4,87%,1,0,0,0,0,NA
348,Candyman,1992,18+,6.6,74%,1,0,0,0,0,NA
349,Mary and the Witch's Flower,2017,7+,6.8,89%,1,0,0,0,0,NA
350,Calibre,2018,18+,6.7,93%,1,0,0,0,0,NA
351,First They Killed My Father,2017,18+,7.2,89%,1,0,0,0,0,NA
352,Us and Them,2018,,7.3,100%,1,0,0,0,0,NA
353,Up in Smoke,1978,18+,7.0,50%,1,0,0,0,0,NA
354,Final Destination,2000,18+,6.7,35%,1,0,0,0,0,NA
355,Kill the Messenger,2014,18+,6.9,77%,1,0,0,0,0,NA
356,Operation Odessa,2018,18+,7.8,100%,1,0,0,0,0,NA
357,The American Meme,2018,,7.3,100%,1,0,0,0,0,NA
358,Outlaw King,2018,18+,6.9,61%,1,0,0,0,0,NA
359,21,2008,13+,6.8,36%,1,0,0,0,0,NA
360,Holding the Man,2015,,7.4,81%,1,0,0,0,0,NA
361,Krisha,2016,18+,7.2,95%,1,0,0,0,0,NA
