ID,Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Kind,Seasons Count
8552,Island,2011,,5.8,,0,0,1,0,0,movie,NA
8553,"Spirits of the Air, Gremlins of the Clouds",1989,,6.5,,0,0,1,0,0,movie,NA
8554,Without Warning: The James Brady Story,1991,18+,6.2,,0,0,1,0,0,tv movie,NA
8555,Mehrunisa V Lub U,2017,,5.5,,0,0,1,0,0,movie,NA
8556,Pinching Penny,2011,18+,4.8,,0,0,1,0,0,movie,NA
8557,Operation Dunkirk,2017,,3.5,,0,0,1,0,0,video movie,NA
8558,Jeans,1998,,6.4,,0,0,1,0,0,movie,NA
8559,Vixen,2020,,7.1,,0,0,1,0,0,movie,NA
8560,Dreams on Spec,2007,,6.3,,0,0,1,0,0,movie,NA
8561,Falling,2005,,7.2,,0,0,1,0,0,movie,NA
8562,Children of God: Lost and Found,2007,18+,6.8,,0,0,1,0,0,movie,NA
8563,American Yakuza,1993,18+,5.7,,0,0,1,0,0,movie,NA
8564,Attagasam,2004,,6.3,,0,0,1,0,0,movie,NA
8565,Last Call,2002,,6.5,,0,0,1,0,0,movie,NA
8566,Across the River,2013,,5.5,,0,0,1,0,0,movie,NA
8567,In My Sleep,2010,13+,5.5,13%,0,0,1,0,0,movie,NA
8568,Food Fight,2008,7+,7.1,,0,0,1,0,0,movie,NA
8569,Tom Brown's School Days,1940,,6.7,,0,0,1,0,0,movie,NA
8570,Classic Albums: Elton John - Goodbye Yellow Brick Road,2001,all,7.6,,0,0,1,0,0,episode,NA
8571,"Look Out, Officer!",1990,18+,5.9,,0,0,1,0,0,movie,NA
8572,The Cliff,2016,,5.2,,0,0,1,0,0,tv series,2
8573,Noelle,2007,7+,5.9,57%,0,0,1,1,0,movie,NA
8574,Color Me Obsessed: A Film About The Replacements,2011,,6.9,,0,0,1,0,0,movie,NA
8575,Rifftrax Live: Plan 9 From Outer Space,2009,,7.1,,0,0,1,0,0,movie,NA
8576,Ghett'a Life,2011,18+,6.8,,0,0,1,0,0,movie,NA
8577,Anjelah Johnson: The Homecoming Show,2013,,6.7,,0,0,1,0,0,movie,NA
8578,Beneath,2013,18+,3.7,33%,0,0,1,0,0,movie,NA
8579,Accidental Love,2015,13+,4.1,9%,0,0,1,0,0,movie,NA
8580,Jalpari The Desert Mermaid,2012,all,7.2,,0,0,1,0,0,movie,NA
